cod_mpio,sedes_reps,prestadores_reps,reps_rows,sedes_ips_reps,sedes_publicas_reps,sedes_privadas_reps,fecha_corte_reps
05306,6,6,6,1,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05308,92,87,92,7,1,91,Fecha corte REPS: Mar 12 2026  3:11PM
05310,8,8,8,2,2,6,Fecha corte REPS: Mar 12 2026  3:11PM
05313,9,9,9,2,1,8,Fecha corte REPS: Mar 12 2026  3:11PM
05315,3,3,3,2,2,1,Fecha corte REPS: Mar 12 2026  3:11PM
05318,81,78,81,11,1,80,Fecha corte REPS: Mar 12 2026  3:11PM
05321,13,13,13,1,1,12,Fecha corte REPS: Mar 12 2026  3:11PM
05347,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05353,9,9,9,2,1,8,Fecha corte REPS: Mar 12 2026  3:11PM
05360,470,420,470,55,5,465,Fecha corte REPS: Mar 12 2026  3:11PM
05361,10,9,10,2,2,8,Fecha corte REPS: Mar 12 2026  3:11PM
05364,49,47,49,2,2,47,Fecha corte REPS: Mar 12 2026  3:11PM
05368,32,32,32,2,1,31,Fecha corte REPS: Mar 12 2026  3:11PM
05376,197,189,197,16,1,196,Fecha corte REPS: Mar 12 2026  3:11PM
05380,80,75,80,12,3,77,Fecha corte REPS: Mar 12 2026  3:11PM
05390,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
05400,52,51,52,8,1,51,Fecha corte REPS: Mar 12 2026  3:11PM
05411,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05425,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05440,198,174,198,7,1,197,Fecha corte REPS: Mar 12 2026  3:11PM
05467,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
05475,1,1,1,1,1,0,Fecha corte REPS: Mar 12 2026  3:11PM
05480,2,2,2,1,1,1,Fecha corte REPS: Mar 12 2026  3:11PM
05483,3,2,3,2,2,1,Fecha corte REPS: Mar 12 2026  3:11PM
05490,45,37,45,17,8,37,Fecha corte REPS: Mar 12 2026  3:11PM
05495,6,6,6,2,1,5,Fecha corte REPS: Mar 12 2026  3:11PM
05501,2,1,2,2,2,0,Fecha corte REPS: Mar 12 2026  3:11PM
05541,33,33,33,1,1,32,Fecha corte REPS: Mar 12 2026  3:11PM
05543,4,4,4,1,1,3,Fecha corte REPS: Mar 12 2026  3:11PM
05576,16,16,16,1,1,15,Fecha corte REPS: Mar 12 2026  3:11PM
05579,44,42,44,9,0,44,Fecha corte REPS: Mar 12 2026  3:11PM
05585,6,5,6,2,2,4,Fecha corte REPS: Mar 12 2026  3:11PM
05591,17,17,17,4,1,16,Fecha corte REPS: Mar 12 2026  3:11PM
05604,18,18,18,2,1,17,Fecha corte REPS: Mar 12 2026  3:11PM
05607,64,61,64,8,0,64,Fecha corte REPS: Mar 12 2026  3:11PM
05615,902,801,902,139,3,899,Fecha corte REPS: Mar 12 2026  3:11PM
